HOME_TEAM,AWAY_TEAM,GAME NUMBER,FIRST_INDEX,LAST_INDEX
Pacers,Heat,484.0,36212.0,36284.0
Hawks,Warriors,485.0,36285.0,36359.0
Celtics,Timberwolves,486.0,36360.0,36455.0
Magic,76ers,487.0,36456.0,36551.0
Nuggets,Kings,488.0,36552.0,36632.0
Rockets,Jazz,489.0,36633.0,36720.0
Nets,Trail Blazers,490.0,36721.0,36791.0
Pacers,Knicks,491.0,36792.0,36857.0
Warriors,Heat,492.0,36858.0,36949.0
Timberwolves,Raptors,493.0,36950.0,37012.0
Bulls,Wizards,494.0,37013.0,37078.0
Nuggets,Clippers,495.0,37079.0,37147.0
Celtics,Bucks,496.0,37148.0,37210.0
Pelicans,Thunder,497.0,37211.0,37284.0
Rockets,Trail Blazers,498.0,37285.0,37371.0
Hornets,Pacers,499.0,37372.0,37439.0
76ers,Wizards,500.0,37440.0,37534.0
Cavaliers,Raptors,501.0,37535.0,37607.0
Celtics,Heat,502.0,37608.0,37684.0
Timberwolves,Pelicans,503.0,37685.0,37755.0
Bulls,Trail Blazers,504.0,37756.0,37841.0
Warriors,Thunder,505.0,37842.0,37915.0
Grizzlies,Suns,506.0,37916.0,37997.0
Hawks,Hornets,507.0,37998.0,38062.0
Cavaliers,Pacers,508.0,38063.0,38146.0
76ers,Wizards,509.0,38147.0,38212.0
Celtics,Jazz,510.0,38213.0,38294.0
Rockets,Bucks,511.0,38295.0,38376.0
Nuggets,Grizzlies,512.0,38377.0,38447.0
Nets,Clippers,513.0,38448.0,38500.0
Bulls,Heat,514.0,38501.0,38570.0
Hawks,Warriors,515.0,38571.0,38654.0
Nets,Lakers,516.0,38655.0,38739.0
Raptors,Jazz,517.0,38740.0,38805.0
Rockets,Pelicans,518.0,38806.0,38888.0
Grizzlies,Kings,519.0,38889.0,38952.0
Pacers,Bucks,520.0,38953.0,39044.0
Nuggets,Lakers,521.0,39045.0,39111.0
Pelicans,Spurs,522.0,39112.0,39162.0
Warriors,Thunder,523.0,39163.0,39229.0
Hornets,Pacers,524.0,39230.0,39300.0
Celtics,Knicks,525.0,39301.0,39368.0
Trail Blazers,Raptors,526.0,39369.0,39475.0
Grizzlies,Jazz,527.0,39476.0,39571.0
Nets,Nuggets,528.0,39572.0,39653.0
Celtics,Cavaliers,529.0,39654.0,39726.0
Pacers,Wizards,530.0,39727.0,39818.0
Hawks,Clippers,531.0,39819.0,39905.0
Bucks,Thunder,532.0,39906.0,39985.0
Grizzlies,Suns,533.0,39986.0,40048.0
Mavericks,Nuggets,534.0,40049.0,40115.0
Heat,76ers,535.0,40116.0,40186.0
Rockets,Raptors,536.0,40187.0,40265.0
Cavaliers,Grizzlies,537.0,40266.0,40339.0
Pacers,Spurs,538.0,40340.0,40423.0
Bulls,Bucks,539.0,40424.0,40486.0
Pelicans,Kings,540.0,40487.0,40558.0
Warriors,Magic,541.0,40559.0,40630.0
Nuggets,Knicks,542.0,40631.0,40691.0
Hawks,Jazz,543.0,40692.0,40791.0
Trail Blazers,Wizards,544.0,40792.0,40863.0
Hornets,Pelicans,545.0,40864.0,40931.0
Rockets,76ers,546.0,40932.0,41004.0
Heat,Bucks,547.0,41005.0,41081.0
Mavericks,Pistons,548.0,41082.0,41162.0
Cavaliers,Kings,549.0,41163.0,41241.0
Hawks,Raptors,550.0,41242.0,41309.0
Bulls,Spurs,551.0,41310.0,41374.0
Nuggets,Suns,552.0,41375.0,41425.0
Nets,76ers,553.0,41426.0,41485.0
Celtics,Rockets,554.0,41486.0,41563.0
Grizzlies,Pelicans,555.0,41564.0,41639.0
Timberwolves,Thunder,556.0,41640.0,41725.0
Clippers,Knicks,557.0,41726.0,41798.0
Mavericks,Pacers,558.0,41799.0,41874.0
Pistons,76ers,559.0,41875.0,41930.0
Heat,Raptors,560.0,41931.0,42008.0
Bucks,Pelicans,561.0,42009.0,42079.0
